"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.556404800E0,-3.136990547E0,9.148059845E0,-3.074477911E0
3.575748133E0,-2.885744095E0,9.700801849E0,-2.574378014E0
3.595091519E0,-3.211168051E0,9.875477791E0,-2.782553673E0
3.614434852E0,-3.225524902E0,1.004536819E1,-2.981158018E0
3.633778186E0,-2.481357098E0,1.039232826E1,-3.313760281E0
3.653121571E0,-2.062613010E0,1.050000477E1,-3.459722519E0
3.672464904E0,-2.612962246E0,9.911370277E0,-3.399901867E0
3.691808290E0,-3.981656790E0,9.801301003E0,-3.045764208E0
3.711151623E0,-5.472385406E0,9.772586823E0,-3.246761322E0
3.730495008E0,-4.950749874E0,8.884849548E0,-3.876073599E0
3.749838342E0,-4.055834293E0,8.688637733E0,-4.328317165E0
3.769181675E0,-4.110869408E0,9.389735222E0,-6.118148327E0
3.788525061E0,-1.562513232E0,9.636196136E0,-5.161019325E0
3.807868394E0,-1.107876897E0,9.801301003E0,-1.968993902E0
3.827211779E0,-1.651047587E0,1.228744316E1,-1.779960990E0
3.846555113E0,-5.144568682E-1,1.508704567E1,-1.052542806E0
3.865898446E0,-2.160718918E0,1.288325596E1,2.309372902E0
3.885241831E0,-4.725824833E0,8.222037315E0,2.574976206E0
3.904585165E0,-6.532405853E0,4.587339878E0,2.507977247E0
3.923928550E0,-9.946963310E0,1.644168258E0,3.254537821E0
3.943271883E0,-1.200239849E1,-8.563314080E-1,3.046362400E0
3.962615217E0,-1.205982590E1,-2.244168520E0,2.847758055E0
3.981958602E0,-1.107159042E1,-1.389930844E0,3.405285835E0
4.001301936E0,-9.537791252E0,1.026820064E0,1.431207061E0
4.020645269E0,-7.508677483E0,3.017648458E0,4.094717801E-1
4.039988654E0,-5.156532764E0,3.977170229E0,6.918248534E-1
4.059331988E0,-4.022335052E0,4.058526516E0,4.621138871E-1
4.078675321E0,-5.072783947E0,4.127918243E0,-1.413859129E0
4.098018706E0,-6.910471916E0,4.764409065E0,-3.055335522E0
4.117362040E0,-7.566105366E0,4.848157883E0,-3.012264490E0
4.136705373E0,-6.262016773E0,5.149653435E0,-2.641377211E0
4.156048758E0,-5.180460930E0,6.085247040E0,-2.481057882E0
4.175392092E0,-4.905286312E0,6.640381813E0,-2.832803011E0
4.194735425E0,-4.950749874E0,6.633203506E0,-2.875873804E0
4.214078811E0,-5.620740414E0,6.929913521E0,-2.873480797E0
4.233422144E0,-5.627918720E0,8.478069305E0,-3.227618694E0
4.252765477E0,-6.010770321E0,9.619445801E0,-3.744468451E0
4.272108863E0,-7.066005230E0,9.265308380E0,-4.388137817E0
4.291452196E0,-5.520241737E0,8.095217705E0,-4.359423637E0
4.310795529E0,-3.761517286E0,6.975377083E0,-3.531507015E0
4.330138915E0,-3.780659676E0,7.604689598E0,-4.802095890E0
4.349482248E0,-3.749552965E0,8.659924507E0,-5.426622868E0
4.368825581E0,-1.373480201E0,8.131110191E0,-2.806481838E0
4.388168967E0,9.930213690E-1,7.932506084E0,-1.935195327E-1
4.407512300E0,2.852244616E0,8.501997948E0,-1.480858088E0
4.426855633E0,3.945764542E0,1.003579712E1,-9.951151013E-1
4.446198967E0,2.773281336E0,1.016022396E1,-2.284846544E0
4.465542352E0,3.062813044E0,9.382556915E0,-2.423630238E0
4.484885686E0,4.036691666E0,9.322735786E0,-3.227319419E-1
4.504229019E0,4.005585194E0,9.145667076E0,-1.770389676E0
4.523572404E0,3.558127165E0,9.310771942E0,-1.899602056E0
4.542915738E0,3.450450182E0,9.827621460E0,-1.277468204E0
4.562259071E0,2.945564747E0,9.672088623E0,-3.705884218E-1
4.581602404E0,2.132004976E0,1.052871895E1,-5.816652775E0
4.600945790E0,1.284227943E1,2.069821548E1,5.278865814E0
4.620289123E0,9.719645500E0,1.744876099E1,5.702395439E0
4.639632456E0,-6.771687984E0,4.333701134E0,-1.190638638E1
4.658975842E0,-8.700303078E0,4.082454681E0,-8.374580383E0
4.678319175E0,-1.093759251E1,7.025626183E0,-4.648955345E0
4.697662508E0,-1.146162033E1,7.678866863E0,-8.917751312E0
4.717005842E0,-5.278566837E0,8.401499748E0,-9.781559944E0
4.736349227E0,-8.015955687E-1,9.983155251E0,-7.342974544E-1
4.755692561E0,4.388436794E0,9.932906151E0,3.137289524E0
4.775035894E0,6.419943333E0,9.506983757E0,-3.933501244E0
4.794379227E0,2.469393015E0,9.274879456E0,-4.971986294E0
4.813722613E0,-2.210968018E0,8.590532303E0,-4.522135735E0
4.833065946E0,-4.331008911E0,8.473283768E0,-3.445365429E0
4.852409279E0,-4.079762459E0,8.652746201E0,-3.079263687E0
4.871752613E0,-2.543570518E0,9.059525490E0,-3.464508057E0
4.891095946E0,-5.096712112E-1,9.346664429E0,-2.981158018E0
4.910439331E0,2.871387303E-1,9.195916176E0,-2.368595362E0
4.929782665E0,3.086741269E-1,9.274879456E0,-2.256132603E0
4.949125998E0,-3.182454109E-1,9.305986404E0,-2.758625507E0
4.968469331E0,-1.002592683E0,9.143274307E0,-3.029014349E0
4.987812717E0,-1.383051515E0,9.052347183E0,-2.459522486E0
5.007156050E0,-1.952543259E0,8.908778191E0,-2.208276272E0
5.026499383E0,-2.273181438E0,9.006883621E0,-2.703590393E0
5.045842717E0,-2.672782898E0,9.411270142E0,-2.610270500E0
5.065186050E0,-2.593819857E0,9.547661781E0,-2.866302490E0
5.084529436E0,-2.328216314E0,9.559625626E0,-3.275475025E0
5.103872769E0,-2.194218397E0,9.779765129E0,-3.969393730E0
5.123216102E0,-1.430907965E0,1.005733299E1,-3.486043453E0
5.142559436E0,-3.684946895E-1,1.027029419E1,-3.304188967E0
5.161902769E0,-5.072783828E-1,1.066510963E1,-2.904587507E0
5.181246154E0,-1.280160069E0,1.090678501E1,-2.591127872E0
5.200589488E0,-2.297109842E0,1.082782173E1,-2.136491537E0
5.219932821E0,-2.679961443E0,1.077278709E1,-2.114956141E0
5.239276154E0,-2.603390932E0,1.150020504E1,-2.086242199E0
